Model,Accuracy,F1,Precision,Recall,AUC-ROC,Train(s)
Decision Tree,0.5471,0.5777,0.6646,0.5471,N/A,0.44
Random Forest,0.6463,0.6611,0.6838,0.6463,N/A,0.99
Gradient Boosting,0.6156,0.6374,0.6785,0.6156,N/A,22.16
XGBoost,0.6212,0.6427,0.6835,0.6212,N/A,0.18
LightGBM,0.6216,0.6421,0.679,0.6216,N/A,0.13
Logistic Regression,0.5481,0.5784,0.6534,0.5481,N/A,0.16
K-Nearest Neighbors,0.584,0.6101,0.6644,0.584,N/A,0.0
Naive Bayes,0.5437,0.5744,0.6532,0.5437,N/A,0.01
